author_name,gender,country,continent,city_birth,city_residence,language,year_birth,year_death,work1,work2,awards,time period,bio,list_url,list_title,list_bookname,list_copy
Jon Fosse,Male,Norway,Europe,"Haugesund, Norway","Bergen, Norway",Norwegian,1959,,A Shining,Septology,Nobel Prize,20th Century; 21st Century,"Jon Olav Fosse is a Norwegian author, translator, and playwright. In 2023, he was awarded the Nobel Prize in Literature ""for his innovative plays and prose which give voice to the unsayable.""",,,,
Vigdis Hjorth,Female,Norway,Europe,"Oslo, Norway","Oslo, Norway",Norwegian,1959,,Will and Testament,Is Mother Dead: A Novel,International Booker Prize; National Book Award,20th Century; 21st Century,Vigdis Hjorth is a Norwegian novelist best known for English translations of Long Live the Post Horn and Will and Testament. She was longlisted for the National Book Award for Translated Literature in 2019,,,,
Bernardine Evaristo,Female,United Kingdom,Europe,"London, UK","London, UK",English,1959,,"Girl, Woman, Other",Mr Loverman,Booker Prize; IMPAC Dublin Literary Award,21st Century,"Bernardine Anne Mobolaji Evaristo is an English author and academic. Her novel Girl, Woman, Other jointly won the Booker Prize in 2019 alongside Margaret Atwood's The Testaments, making her the first Black woman to win the Booker.",,,,
Deborah Levy,Female,United Kingdom,Europe,"Johannesburg, South Africa","London, UK",English,1959,,Swimming Home,Hot Milk,Booker Prize,20th Century; 21st Century,"Deborah Levy is a British novelist, playwright and poet. She initially concentrated on writing for the theatre – her plays were staged by the Royal Shakespeare Company – before focusing on prose fiction.",,,,
Jeanette Winterson,Female,United Kingdom,Europe,"Manchester, UK","Gloucestershire, UK",English,1959,,Oranges Are Not the Only Fruit,Frankisstein,,20th Century; 21st Century,"Jeanette Winterson is an English author. Her first book, Oranges Are Not the Only Fruit, was a semi-autobiographical novel about a lesbian growing up in an English Pentecostal community. Other novels explore gender polarities, sexual identity and relations between humans and technology.",https://www.hammockmag.com/recommendations-lists/a-classic-queer-reading-list,A Classic Queer Reading List,Oranges Are Not the Only Fruit,"Iconic writer Jeanette Winterson’s first novel, published in 1985, is a semi autobiographical coming-of-age story about a girl growing up in a Pentecostal family in England’s industrial Midlands region. Winterson decodes the oppressiveness of religious zealotry with the authority and insight of somebody who has first-hand experience of living in such an environment. Her portrayal of the young woman’s burgeoning lesbian sexuality– problematic in the Pentecostal world– is a searingly honest and evocative portrayal."
Tibor Fischer,Male,United Kingdom,Europe,"Manchester, UK","London, UK",English,1959,,Under the Frog,The Thought Gang,Booker Prize,20th Century; 21st Century,"Tibor Fischer is a British novelist and short-story writer. In 1993, he was selected by the literary magazine Granta as one of the 20 best young British writers, while his novel Under the Frog was featured on the Booker Prize shortlist.",,,,
Jonathan Franzen,Male,USA,North America,"Western Springs, USA","New York, USA",English,1959,,The Corrections,Freedom,Pulitzer Prize; National Book Award; IMPAC Dublin Literary Award,20th Century; 21st Century,"Jonathan Earl Franzen is an American novelist and essayist. His 2001 novel The Corrections drew widespread critical acclaim, earned Franzen a National Book Award, was a Pulitzer Prize for Fiction finalist, earned a James Tait Black Memorial Prize, and was shortlisted for the International Dublin Literary Award.",,,,
William Vollmann,Male,USA,North America,"Los Angeles, USA","Sacramento, USA",English,1959,,Europe Central,The Royal Family,National Book Award,20th Century; 21st Century,"William Tanner Vollmann is an American novelist, journalist, war correspondent, short story writer, and essayist. He won the 2005 National Book Award for Fiction with the novel Europe Central.",,,,
Tsitsi Dangarembga,Female,Zimbabwe,Africa,"Harare, Zimbabwe","Harare, Zimbabwe",English,1959,,The Book of Not,Nervous Conditions,Booker Prize,21st Century,"Tsitsi Dangarembga is a Zimbabwean novelist, playwright and filmmaker. Her debut novel, Nervous Conditions, which was the first to be published in English by a Black woman from Zimbabwe, was named by the BBC in 2018 as one of the top 100 books that have shaped the world.",,,,
José Eduardo Agualusa,Male,Angola,Africa,"Huambo, Angola","Lisbon, Portugal",Portuguese,1960,,A General Theory of Oblivion,My Father's Wives,IMPAC Dublin Literary Award,21st Century,"José Eduardo Agualusa Alves da Cunha is an Angolan journalist and writer of Portuguese and Brazilian descent. He studied agronomy and silviculture in Lisbon, Portugal. Currently he resides in the Island of Mozambique, working as a writer and journalist.",,,,
Claudia Pineiro,Female,Argentina,Latin America,"Buenos Aires, Argentina","Buenos Aires, Argentina",Spanish,1960,,Elena Knows,A Crack in the Wall,International Booker Prize,21st Century,"Claudia Piñeiro is an Argentine novelist and screenwriter, best known for her crime and mystery novels, most of which became best sellers in Argentina.",,,,
Tim Winton,Male,Australia,Australia,"Perth, Australia","Fremantle, Australia",English,1960,,Dirt Music,The Riders,Booker Prize,20th Century; 21st Century,"Timothy John Winton is an Australian writer. He has written novels, children's books, non-fiction books, and short stories. In 1997, he was named a Living Treasure by the National Trust of Australia, and has won the Miles Franklin Award four times.",,,,
Michel Faber,Male,Netherlands,Europe,"The Hague, Netherlands","Folkestone, UK",English,1960,,The Book of Strange New Things,Under the Skin,,21st Century,"Michel Faber is a Dutch-born writer of English-language fiction, including his 2002 novel The Crimson Petal and the White, and Under the Skin which was adapted for film by Jonathan Glazer, starring Scarlett Johansson.",,,,
Oksana Zabuzhko,Female,Ukraine,Europe,"Lutsk, Ukraine","Kyiv, Ukraine",Ukrainian,1960,,Fieldwork in Ukrainian Sex,The Museum of Abandoned Secrets,,20th Century; 21st Century,"Oksana Stefanivna Zabuzhko is a Ukrainian novelist, poet, and essayist. Her works have been translated into several languages.",,,,
Edward St Aubyn,Male,United Kingdom,Europe,"London, UK","London, UK",English,1960,,Never Mind,Mother’s Milk,Booker Prize,20th Century; 21st Century,"Edward St Aubyn is an English author and journalist. He is the author of ten novels, including notably the semi-autobiographical Patrick Melrose novels.",,,,
Jeffrey Eugenides,Male,USA,North America,"Detroit, USA","Detroit, USA",English,1960,,Middlesex,The Virgin Suicides,Pulitzer Prize; National Book Award; IMPAC Dublin Literary Award,20th Century; 21st Century,"Jeffrey Kent Eugenides is an American author. He has written numerous short stories and essays, as well as three novels: The Virgin Suicides, Middlesex, and The Marriage Plot.",,,,
DBC Pierre,Male,Australia,Australia,"Adelaide, Australia","Cambridge, UK",English,1961,,Vernon God Little,Meanwhile in Dopamine City,Booker Prize,21st Century,"Peter Warren Finlay, also known as DBC Pierre, is an Australian author who wrote the novel Vernon God Little. Pierre was born in South Australia, and largely raised in Mexico.",,,,
Richard Flanagan,Male,Australia,Australia,"Tasmania, Australia","Tasmania, Australia",English,1961,,The Narrow Road to the Deep North,The Unknown Terrorist,Booker Prize,20th Century; 21st Century,"Richard Miller Flanagan is an Australian writer, who has also worked as a film director and screenwriter.",https://www.hammockmag.com/recommendations-lists/contemporary-war-novels-a-reading-list,Contemporary War Novels,The Narrow Road to the Deep North,"Like many on this list, Flanagan’s novel is an exploration of the aftermath of war and of the main character’s experiences as a prisoner of war who worked on the construction of the notorious ‘Burma death railway’. It’s a rare juxtaposition of a remarkable love story and a look back at a war veteran’s life that earned Flanagan the Booker Prize in 2014."
Arundhati Roy,Female,India,Asia,"Shillong, India","New Delhi, India",English,1961,,The God of Small Things ,The Ministry of Utmost Happiness,Booker Prize; National Book Award,20th Century; 21st Century,"Suzanna Arundhati Roy is an Indian author best known for her novel The God of Small Things, which won the Booker Prize for Fiction in 1997 and became the best-selling book by a non-expatriate Indian author. She is also a political activist involved in human rights and environmental causes.",,,,
Vikram Chandra,Male,India,Asia,"New Delhi, India","Mumbai, India",English,1961,,Love and Longing in Bombay,Sacred Games,Commonwealth Writers' Prize,20th Century; 21st Century,"Vikram Chandra is an Indian-American writer. His first novel, Red Earth and Pouring Rain, won the 1996 Commonwealth Writers' Prize for Best First Book.",,,,
Jonas Jonasson,Male,Sweden,Europe,"Växjö, Sweden","Gotland, Sweden",Swedish,1961,,The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared,The Girl Who Saved the King of Sweden,,21st Century,"Pär-Ola Jonas Jonasson is a Swedish journalist and writer, best known as the author of the best-seller The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared.",,,,
Andrey Kurkov,Male,Ukraine,Europe,"Saint Petersburg, Russia","Kyiv, Ukraine",Russian; Ukrainian,1961,,Death and the Penguin,Jimi Hendrix Live in Lviv,International Booker Prize; Prix Medicis,20th Century; 21st Century,"Andrey Yuryevich Kurkov is a Ukrainian author and public intellectual. He is the author of 19 novels, including the bestselling Death and the Penguin, nine books for children, and about 20 documentary, fiction and movie scripts.",,,,
Will Self,Male,United Kingdom,Europe,"London, UK","London, UK",English,1961,,Umbrella,Great Apes,,20th Century; 21st Century,"William Woodard Self is an English writer, journalist, political commentator and broadcaster. He has written 11 novels, five collections of shorter fiction, three novellas and nine collections of non-fiction writing.",,,,
Lan Cao,Female,Vietnam,Asia,"Ho Chi Minh City, Vietnam","Los Angeles, USA",English,1961,,Monkey Bridge,The Lotus and the Storm,,20th Century; 21st Century,"Lan Cao is a Vietnamese American professor and author. She wrote her debut novel Monkey Bridge in 1997, and her second novel, The Lotus and the Storm in 2014. She is a professor of law at the Chapman University School of Law.",,,,
Atiq Rahimi,Male,Afghanistan,Asia,"Kabul, Afghanistan","Paris, France",Persian; French,1962,,The Patience Stone,A Curse on Dostoevsky,Prix Goncourt,21st Century,"Atiq Rahimi is an Afghan-French writer and filmmaker. His novel ""The Patience Stone"" won the Prix Goncourt in 2008, and he is known for exploring themes of war, identity, and cultural dislocation. His works often reflect the turbulent history of Afghanistan and the personal struggles of its people. ",,,,
Taslima Nasrin,Female,Bangladesh,Asia,"Mymensingh, Bangladesh","New Delhi, India",English,1962,,Shame,Tell Him the Secret,,20th Century; 21st Century,"Taslima Nasrin is a Bangladeshi writer, physician, feminist, secular humanist, and activist. She is known for her writing on women's oppression and criticism of religion; some of her books are banned in Bangladesh.",,,,
Christina Hesselholdt,Female,Denmark,Europe,"Copenhagen, Denmark","Copenhagen, Denmark",Danish,1962,,Companions,Vivian,,20th Century; 21st Century,Christina Hesselholdt is Danish author. She has received a number of awards for her work and in 2018 received the Danish Academy's Grand Prize. ,,,,
Amit Chaudhuri,Male,India,Asia,"Kolkata, India","Kolkata, India",English; Bengali,1962,,A Strange and Sublime Address,Friend of My Youth,Commonwealth Writers' Prize,20th Century; 21st Century,"Amit Chaudhuri is a novelist, poet, essayist, literary critic, editor, singer, and music composer from India.",,,,
Vivek Shanbhag,Male,India,Asia,"Sirsi, India","Bangalore, India",Kannada,1962,,Ghachar Ghochar,Sakina's Kiss,IMPAC Dublin Literary Award,20th Century; 21st Century,"Vivek Shanbhag is an Indian story writer, novelist and playwright in Kannada. He is the author of nine works of fiction and three plays, all of which have been published in Kannada. His works have been translated into English and several other languages.",,,,
Anne Enright,Female,Ireland,Europe,"Dublin, Ireland","Dublin, Ireland",English,1962,,The Gathering,The Green Road,Booker Prize,20th Century; 21st Century,"Anne Teresa Enright is an Irish writer. The first Laureate for Irish Fiction and winner of the Man Booker Prize, she has published eight novels, many short stories, and a non-fiction work.",https://www.hammockmag.com/recommendations-lists/six-novels-set-in-the-world-of-theater,Six Novels in the World of Theater,Actress,"Anne Enright’s book is not just about the theater but also about motherhood, purpose and work. The celebrated Booker winner had a brief life as an actor as well, and she tells the story of Katherine O’Dell through the search of her daughter Norah. Exploring her mother’s bohemian life and celebrated career, she discovers secrets, herself and much more in a novel that is essential reading."
Yoko Ogawa,Female,Japan,Asia,"Okayama, Japan","Ashiya, Japan",Japanese,1962,,The Housekeeper and the Professor,The Memory Police,International Booker Prize,20th Century; 21st Century,"Yōko Ogawa is a Japanese writer. Her work has won every major Japanese literary award, including the Akutagawa Prize and the Yomiuri Prize. Internationally, she has been the recipient of the Shirley Jackson Award and the American Book Award.",,,,
Olga Tokarczuk,Female,Poland,Europe,"Sulechów, Poland","Wrocław, Poland",Polish,1962,,Flights,Drive Your Plow Over the Bones of the Dead,Nobel Prize; International Booker Prize; IMPAC Dublin Literary Award,20th Century; 21st Century,"Olga Nawoja Tokarczuk is a Polish writer, activist, and public intellectual. She is one of the most critically acclaimed and successful authors of her generation in Poland.",https://www.hammockmag.com/recommendations-lists/6-books-about-globalism-and-identity,Six Books About Globalism and Identity,Flights,"The winner of the 2018 Man Booker International prize, and the work that made Olga Tokarczuk a global literary figure even before her Nobel Prize, Flights is a fragmentary novel that is also a ""philosophical rumination on modern-day travel"". Set between the 17th and 21st centuries, structured as a series of vignettes that go between various eras and geographies, Flights is a novel that is perpetually in motion and raises interesting questions about the interconnected and daunting world we live in."
Javier Cercas,Male,Spain,Europe,"Caceres, Spain","Girona, Spain",Spanish,1962,,The Impostor,Soldiers of Salamis,IMPAC Dublin Literary Award,20th Century; 21st Century,"Javier Cercas Mena is a Spanish writer and professor of Spanish literature at the University of Girona, Spain. Awards he has won for his novels include the Independent Foreign Fiction Prize for Soldiers of Salamis, and the European Book Prize for The Impostor.",,,,
Ali Smith,Female,United Kingdom,Europe,"Inverness, UK","Cambridge, UK",English,1962,,How to be Both,Autumn,Booker Prize,20th Century; 21st Century,"Ali Smith is a Scottish author, playwright, academic and journalist. Sebastian Barry described her in 2016 as ""Scotland's Nobel laureate-in-waiting"".",,,,
Anna Burns,Female,United Kingdom,Europe,"Belfast, Northern Ireland","Sussex, UK",English,1962,,Milkman,No Bones,Booker Prize; IMPAC Dublin Literary Award; National Book Award,21st Century,"Anna Burns is an author from Northern Ireland. Her novel Milkman won the 2018 Booker Prize, the 2019 Orwell Prize for political fiction, and the 2020 International Dublin Literary Award.",,,,
John Lanchester,Male,United Kingdom,Europe,"Hamburg, Germany","London, UK",English,1962,,The Debt to Pleasure,Capital,Booker Prize,20th Century; 21st Century,"John Henry Lanchester is a British journalist and novelist. He was born in Hamburg, brought up in Hong Kong and educated in England, where he went to Oxford.",,,,
Mark Haddon,Male,United Kingdom,Europe,"Northampton, UK","Oxford, UK",English,1962,,The Curious Incident of the Dog in the Night-Time,A Spot of Bother,Commonwealth Writers' Prize,21st Century,"Mark Haddon is an English novelist, best known for The Curious Incident of the Dog in the Night-Time. He won the Whitbread Award, the Dolly Gray Children's Literature Award, the Guardian Prize, and a Commonwealth Writers' Prize for his work.",,,,
David Foster Wallace,Male,USA,North America,"New York, USA","Los Angeles, USA",English,1962,2008,Infinite Jest,Brief Interviews with Hideous Men,Pulitzer Prize,20th Century; 21st Century,"David Foster Wallace was an American novelist, short story writer, essayist, and university professor of English and creative writing. Wallace's 1996 novel Infinite Jest was cited by Time magazine as one of the 100 best English-language novels of the past century.",,,,
Jennifer Egan,Female,USA,North America,"Chicago, USA","New York, USA",English,1962,,A Visit from the Goon Squad,The Candy House,Pulitzer Prize; National Book Award,20th Century; 21st Century,"Jennifer Egan is an American novelist and short-story writer. Her novel, A Visit from the Goon Squad, won the 2011 Pulitzer Prize for Fiction and National Book Critics Circle Award for fiction. From 2018 to 2020, she served as the president of PEN America.",,,,
Paul Beatty,Male ,USA,North America,"Los Angeles, USA","New York, USA",English,1962,,The Sellout,The White Boy Shuffle,Booker Prize; National Book Award; IMPAC Dublin Literary Award,20th Century; 21st Century,"Paul Beatty is an American author and an associate professor of writing at Columbia University. In 2016, he won the National Book Critics Circle Award and the Booker Prize for his novel The Sellout.",,,,
Yann Martel,Male,Canada,North America,"Salamanca, Spain","Sasketchawan, Canada",English,1963,,Life of Pi,Beatrice and Virgil,Booker Prize,20th Century; 21st Century,"Yann Martel is a Canadian author who wrote the Man Booker Prize–winning novel Life of Pi, an international bestseller published in more than 50 territories.",,,,
Cixin Liu,Male,China,Asia,"Yangquan, Shanxi, China","Beijing, China",Chinese,1963,,The Three Body Problem,Death's End,,20th Century; 21st Century,Liu Cixin is a Chinese computer engineer and science fiction writer. He is a nine-time winner of China's Galaxy Award and has also received the 2015 Hugo Award for his novel The Three-Body Problem. ,,,,
Jón Kalman Stefánsson,Male,Iceland,Europe,"Reykjavik, Iceland","Reykjavik, Iceland",Icelandic,1963,,Heaven and Hell,Fish Have No Feet,International Booker Prize,20th Century; 21st Century,Jon Kalman Stefansson is an Icelandic author who is the 2011 winner of the P. O. Enquist Award. His novels have been nominated three times for the Nordic Council Prize for Literature.,,,,
Amitava Kumar,Male,India,Asia,"Patna, India","New York, USA",English,1963,,"Immigrant, Montana",A Time Outside This Time,,20th Century; 21st Century,"Amitava Kumar is an Indian writer and journalist who is Professor of English, holding the Helen D. Lockwood Chair at Vassar College.",,,,
Daniyal Mueenuddin,Male,Pakistan,Asia,"Los Angeles, USA","Lahore, Pakistan",English,1963,,"In Other Rooms, Other Wonders",,Commonwealth Writers' Prize,21st Century,"Daniyal Mueenuddin is a Pakistani-American author who writes in English. His short story collection In Other Rooms, Other Wonders, has been translated into sixteen languages, and won The Story Prize, the Commonwealth Writers' Prize and other honors and critical acclaim.",,,,
Damon Galgut,Male,South Africa,Africa,"Pretoria, South Africa","Cape Town, South Africa",English,1963,,The Good Doctor,In A Strange Room,Booker Prize; Commonwealth Writers' Prize' ; IMPAC Dublin Literary Award,20th Century; 21st Century,"Damon Galgut is a South African novelist and playwright. He was awarded the 2021 Booker Prize for his novel The Promise, having previously been shortlisted for the award in 2003 and 2010.",,,,
Peter Stamm,Male,Switzerland,Europe,"Weinfelden, Switzerland","Winterthur, Switzerland",German,1963,,All Days Are Night,Seven Years,International Booker Prize; Prix Medicis,20th Century; 21st Century,"Peter Stamm is a Swiss writer. His prize-winning books have been translated into more than thirty languages. For his accomplishments in fiction, he was short-listed for the International Booker Prize in 2013, and in 2014 he won the prestigious Friedrich Hölderlin Prize.",,,,
Ann Patchett,Female,USA,North America,"Los Angeles, USA","Nashville, USA",English,1963,,Commonwealth,The Dutch House,National Book Award; Pulitzer Prize,20th Century; 21st Century,"Ann Patchett is an American author. She received the 2002 PEN/Faulkner Award and the Orange Prize for Fiction in the same year, for her novel Bel Canto.",,,,
Donna Tartt,Female,USA,North America,"Mississippi, USA","New York, USA",English,1963,,The Secret History,The Goldfinch,Pulitzer Prize; National Book Award,20th Century; 21st Century,"Donna Louise Tartt is an American novelist and essayist. She wrote the novels The Secret History, The Little Friend, and The Goldfinch, which has been adapted into a 2019 film of the same name.",https://www.hammockmag.com/recommendations-lists/a-selection-of-the-best-campus-novels,A Selection of the Best Campus Novels,The Secret History,"A book that has become a modern classic, Donna Tartt’s debut novel is based loosely upon her own time at Bennington College. The book reminisces about liberal arts college life through its narrator, who becomes part of a selective group of Classics students led by a professor who has elements of cult leader to him. But to describe it like that would ignore the strange, hypnotic spell it casts and the more dramatic elements that must be discovered for yourself."
Michael Chabon,Male,USA,North America,"Washington, D.C., USA","Berkeley, USA",English,1963,,The Yiddish Policemen's Union,The Amazing Adventures of Kavalier and Clay,Pulitzer Prize; National Book Award; IMPAC Dublin Literary Award,20th Century; 21st Century,"Michael Chabon is an American novelist, screenwriter, columnist, and short story writer. Born in Washington, D.C., he spent a year studying at Carnegie Mellon University before transferring to the University of Pittsburgh, graduating in 1984.",,,,
Miriam Toews,Female,Canada,North America,"Manitoba, Canada","Winnipeg, Canada",English,1964,,All My Puny Sorrows,Women Talking,,20th Century; 21st Century,Miriam Toews is a Canadian writer and author of nine books. She has won a number of literary prizes including the Governor General's Award for Fiction and the Writers' Trust Engel/Findley Award for her body of work.,,,,
Joseph O'Neill,Male,Ireland,Europe,"Cork, Ireland","New York, USA",English,1964,,Netherland,The Dog,Booker Prize; IMPAC Dublin Literary Award,21st Century,Joseph O'Neill is an Irish novelist and non-fiction writer. O'Neill's novel Netherland was awarded the 2009 PEN/Faulkner Award for Fiction and the Kerry Group Irish Fiction Award.,,,,
Banana Yoshimoto,Female,Japan,Asia,"Tokyo, Japan","Tokyo, Japan",Japanese,1964,,Kitchen,The Premonition,,20th Century; 21st Century,"Banana Yoshimoto is a Japanese writer who began her writing career while working as a waitress at a golf club restaurant in 1987. Her debut work, Kitchen (1988), had over 60 printings in Japan alone.",,,,
Rawi Hage,Male,Lebanon,North America,"Beirut, Lebanon","Montreal, Canada",English,1964,,De Niro's Game,Carnival,IMPAC Dublin Literary Award,21st Century,"Rawi Hage is a Lebanese-Canadian journalist, novelist, and photographer based in Montreal, Quebec. ",https://www.hammockmag.com/recommendations-lists/contemporary-war-novels-a-reading-list,Contemporary War Novels,De Niro's Game,"A beautiful and powerful portrait of a friendship during the war in Lebanon, Rawi Hage’s debut novel won many awards for its raw look at the ways in which the political affects the personal. The Lebanese-Canadian writer draws upon the breakdown of the country to craft a chaotic, cinematic and affecting story that deserves all the acclaim."
Cristina Rivera Garza,Female,Mexico,Latin America,"Matamoros, Mexico","Houston, USA",Spanish,1964,,No One Will See Me Cry,Liliana's Invincible Summer,Pulitzer Prize ,20th Century; 21st Century,"Cristina Rivera Garza is a Pulitzer Prize-winning Mexican author and professor best known for her fictional work, with various novels receiving some of Mexico’s highest literary awards as well as international honors.",,,,
Mohammed Hanif,Male,Pakistan,Asia,"Okara, Pakistan","Karachi, Pakistan",English,1964,,A Case of Exploding Mangoes,Our Lady of Alice Bhatti,Booker Prize; Commonwealth Writers' Prize,21st Century,Mohammed Hanif is a British-Pakistani writer and journalist who writes a monthly opinion piece in The New York Times.,https://www.hammockmag.com/recommendations-lists/selections-from-the-subcontinent,Selections from the Subcontinent,A Case of Exploding Mangoes,"A brilliant satirical work that explores betrayal, tyranny, family, and conspiracy, Mohammad Hanif’s debut book was shortlisted for many awards and is one of the most absorbing Pakistani novels of recent years. Taking the 1988 aircraft crash that killed Pakistani president Zia ul-Haq, but then fictionalising it with dark humour and an unforgettable voice, this one is well worth picking up."
Cheon Myeong Kwan,Male,South Korea,Asia,"Seoul, South Korea","Seoul, South Korea",Korean,1964,,Whale,Modern Family,International Booker Prize,21st Century,"Cheon Myeong-kwan is a South Korean novelist, screenwriter and film director. His novel Modern Family was adapted into the film Boomerang Family in 2013.",,,,
Carlos Ruiz Zafón,Male,Spain,Europe,"Barcelona, Spain","Los Angeles, USA",Spanish,1964,2020,The Shadow of the Wind,The Angel's Game,,20th Century; 21st Century,Carlos Ruiz Zafón was a Spanish novelist best known for his 2001 novel The Shadow of the Wind. The novel sold 15 million copies and was winner of numerous awards.,,,,
Leila Aboulela,Female,Sudan,Africa,"Cairo, Egypt","Aberdeen, UK",English,1964,,Minaret,The Translator,Commonwealth Writers' Prize,20th Century; 21st Century,"Leila Fuad Aboulela is a fiction writer, essayist, and playwright of Sudanese origin based in Aberdeen, Scotland. She grew up in Khartoum, Sudan, and moved to Scotland in 1990 where she began her literary career.",,,,
Khaled Khalifa,Male,Syria,Asia,"Aleppo, Syria","Damascus, Syria",Arabic,1964,2023,Death is Hard Work,No One Prayed Over Their Graves,National Book Award,20th Century; 21st Century,"Khaled Khalifa was a Syrian novelist, screenwriter and poet. He was nominated three times and shortlisted twice for the International Prize for Arabic Fiction. Some of his novels have been translated into English, German, French, Spanish and other languages.",,,,
Ayfer Tunc,Male,Turkey,Asia,"Istanbul, Turkey","Istanbul, Turkey",Turkish,1964,,The Highly Unreliable Account of the History of A Madhouse,The Aziz Bey Incident,,21st Century,"Ayfer Tunç is a contemporary Turkish writer. She graduated from the Istanbul University Faculty of Political Sciences. During her university years, she wrote many articles for various literature, culture and art magazines.",,,,
Francis Spufford,Female,United Kingdom,Europe,"London, UK","Cambridge, UK",English,1964,,Light Perpetual,Golden Hill,Booker Prize,21st Century,"Francis Spufford is an English author and teacher of writing whose career has shifted gradually from non-fiction to fiction. His first novel Golden Hill received critical acclaim and numerous prizes, as did his next two novels.",,,,
Khaled Hosseini,Male,Afghanistan,Asia,"Kabul, Afghanistan","San Jose, USA",English,1965,,The Kite Runner,A Thousand Splendid Suns,,21st Century,"Khaled Hosseini is an Afghan-American novelist, UNHCR goodwill ambassador, and former physician. His debut novel The Kite Runner was a critical and commercial success; the book and his subsequent novels have all been at least partially set in Afghanistan and have featured an Afghan as the protagonist.",,,,
Charlotte Wood,Female,Australia,Australia,"Cooma, Australia","Sydney, Australia",English,1965,,Stone Yard Devotional,The Natural Way of Things,Booker Prize; Commonwealth Writers' Prize,21st Century,"Charlotte Wood is an Australian novelist. The Australian newspaper described her as ""one of our most original and provocative writers"".",,,,
Christos Tsiolkas,Male,Australia,Australia,"Melbourne, Australia","Melbourne, Australia",English,1965,,The Slap,Barracuda,Commonwealth Writers' Prize,21st Century,"Christos Tsiolkas is an Australian author, playwright, and screenwriter. Several of his books have been adapted for film and television.",,,,
Colum McCann,Male,Ireland,Europe,"Dublin, Ireland","New York, USA",English,1965,,Let the Great World Spin,TransAtlantic,IMPAC Dublin Literary Award; National Book Award,20th Century; 21st Century,"Colum McCann is an Irish writer of literary fiction. He was born in Dublin, Ireland, and now lives in New York. He is known as an international writer who believes in the ""democracy of storytelling.""",,,,
Keith Ridgway,Male,Ireland,Europe,"Dublin, Ireland","London, UK",English,1965,,A Shock,The Long Falling,,20th Century; 21st Century,"Keith Ridgway is an Irish novelist. He has been described as ""a worthy inheritor"" of ""the modernist tradition in Irish fiction"".",,,,
Mike McCormack,Male,Ireland,Europe,"London, UK","Galway, Ireland",English,1965,,Solar Bones,Notes from A Coma,IMPAC Dublin Literary Award,20th Century; 21st Century,"Mike McCormack is an Irish novelist and short-story writer. He has published two collections of short stories, Getting It In the Head and Forensic Songs and four novels.",,,,
Naeem Murr,Male,Lebanon,Asia,"London, UK","Chicago, USA",English,1965,,The Perfect Man,The Boy,Booker Prize; Commonwealth Writers' Prize,20th Century; 21st Century,"Naeem Murr is a British-born novelist and short story writer of Lebanese descent. He is the author of three novels acclaimed for their dark portraiture and stark, original prose.",,,,
Aminatta Forna,Female,Sierra Leone,Africa,"Glasgow, UK","London, UK",English,1965,,The Memory of Love,The Hired Man,Commonwealth Writers' Prize,20th Century; 21st Century,"Aminatta Forna is a British writer of Scottish and Sierra Leonean ancestry. Her first book was a memoir, The Devil That Danced on the Water: A Daughter's Quest. Since then she has written four novels.",,,,
Phillip Hensher,Male,United Kingdom,Europe,"London, UK","Sheffield, UK",English,1965,,The Northern Clemency,The Mulberry Empire,Booker Prize,20th Century; 21st Century,"Philip Michael Hensher is an English novelist, critic and journalist. Hensher's early works of fiction were characterized as having an ""ironic, knowing distance from their characters"" and ""icily precise skewerings of pretension and hypocrisy"".",,,,
Sian Hughes,Female,United Kingdom,Europe,"Manchester, UK","Cheshire, UK",English,1965,,Pearl,The Missing,Booker Prize,21st Century,"Sian Hughes is a UK poet, teacher, and novelist. In 2023, her debut novel Pearl was longlisted for the 2023 Booker Prize.",,,,
Zoe Heller,Female,United Kingdom,Europe,"London, UK","New York, USA",English,1965,,Notes on a Scandal,The Believers,Booker Prize; IMPAC Dublin Literary Award,20th Century; 21st Century,"Zoë Kate Hinde Heller is an English journalist and novelist long resident in New York City. She has published three novels, Everything You Know, Notes on a Scandal, and The Believers.",,,,
Liane Moriarty,Female,Australia,Australia,"Sydney, Australia","Sydney, Australia",English,1966,,Nine Perfect Strangers ,Big Little Lies,,20th Century; 21st Century,"Liane Moriarty is an Australian author. She has written ten novels, including the New York Times best sellers Big Little Lies, Nine Perfect Strangers, and Apples Never Fall which were all adapted into television series.",,,,
Robert Seethaler,Male,Austria,Europe,"Vienna, Austria","Berlin, Germany",German,1966,,A Whole Life,The Tobacconist,,20th Century; 21st Century,Robert Seethaler is an Austrian writer and actor living in Berlin and is the author of five novels. ,,,,
Paulo Scott,Male,Brazil,Latin America,"Porto Alegre, Brazil","Rio de Janeiro, Brazil",Portuguese,1966,,Phenotypes,Nowhere People,International Booker Prize,21st Century,"Paulo Scott is a Brazilian author, poet, playwright, screenwriter and translator. Born in Porto Alegre, he worked as a lawyer and professor for a decade before becoming a writer.",,,,
Claire Messud,Female,Canada,North America,"New York, USA","Boston, USA",Spanish,1966,,The Emperor's Children,This Strange Eventful History,Booker Prize,21st Century,Claire Messud is an American/Canadian/French novelist and literature and creative writing professor. She is best known as the author of the novel The Emperor's Children.,,,,
